indoor_temp,indoor_humidity,outdoor_temp,outdoor_humidity,indoor_heat_index,outdoor_heat_index,dew_point,temp_discrepancy,humidity_discrepancy,heat_stress_risk,comfort_status,projected_temp_4h
28.89,71.73,28.7,73.04,32.8,32.61,23.26,-0.19,1.31,1,High Heat Stress Risk,32.36
26.47,55.11,28.7,53.47,26.61,29.68,16.71,2.23,-1.64,0,Optimal Thermal Comfort,30.3
29.46,51.77,32.71,48.4,30.53,35.28,18.48,3.25,-3.37,1,High Heat Stress Risk,33.66
32.79,61.96,41.33,73.56,39.68,82.75,24.52,8.54,11.6,1,High Heat Stress Risk,38.58
26.11,59.87,31.59,66.77,26.34,38.16,17.69,5.48,6.9,0,Optimal Thermal Comfort,30.69
26.11,56.33,27.24,67.68,26.25,29.05,16.73,1.13,11.35,0,Optimal Thermal Comfort,30.82
33.0,70.7,38.32,84.38,43.77,77.34,26.95,5.32,13.68,1,High Heat Stress Risk,38.51
29.92,73.94,30.56,84.43,35.81,40.91,24.75,0.64,10.49,1,High Heat Stress Risk,33.31
25.22,63.11,31.91,76.54,25.45,42.62,17.69,6.69,13.43,0,Optimal Thermal Comfort,30.86
29.06,80.47,32.18,88.45,35.01,48.98,25.35,3.12,7.98,1,High Heat Stress Risk,33.26
25.24,47.73,29.22,47.33,25.07,29.62,13.35,3.98,-0.4,0,Optimal Thermal Comfort,29.58
25.23,59.58,32.48,76.01,25.36,44.35,16.79,7.25,16.43,0,Optimal Thermal Comfort,30.44
27.92,53.04,29.16,57.12,28.63,30.86,17.45,1.24,4.08,0,Optimal Thermal Comfort,32.44
19.73,38.67,20.72,40.15,18.77,19.9,5.25,0.99,1.48,0,Optimal Thermal Comfort,23.66
20.45,60.97,23.3,68.13,20.14,23.46,12.66,2.85,7.16,0,Optimal Thermal Comfort,24.3
24.86,60.48,31.45,62.13,24.98,36.42,16.68,6.59,1.65,0,Optimal Thermal Comfort,28.93
23.15,80.92,23.86,86.29,23.63,24.55,19.69,0.71,5.37,1,High Heat Stress Risk,28.36
28.19,69.89,25.88,80.97,31.02,26.64,22.16,-2.31,11.08,1,High Heat Stress Risk,32.22
23.55,49.2,26.71,60.31,23.25,27.74,12.27,3.16,11.11,0,Optimal Thermal Comfort,27.45
21.63,85.18,27.1,86.94,22.07,30.69,19.03,5.47,1.76,1,High Heat Stress Risk,26.42
32.57,77.26,39.53,82.11,45.22,82.09,28.06,6.96,4.85,1,High Heat Stress Risk,38.69
26.14,69.28,29.28,85.83,26.62,36.97,20.06,3.14,16.55,0,Optimal Thermal Comfort,30.83
27.26,59.17,30.51,71.39,28.35,36.7,18.58,3.25,12.22,0,Optimal Thermal Comfort,33.71
21.59,50.01,28.44,74.07,21.11,32.2,10.72,6.85,24.06,0,Optimal Thermal Comfort,25.65
24.93,57.35,24.83,74.7,24.98,25.32,15.91,-0.1,17.35,0,Optimal Thermal Comfort,28.42
27.42,75.61,30.73,92.69,30.19,44.63,22.72,3.31,17.08,1,High Heat Stress Risk,32.12
22.63,85.56,27.26,83.65,23.18,30.73,20.08,4.63,-1.91,1,High Heat Stress Risk,27.52
28.43,81.29,33.66,95.52,33.44,60.37,24.9,5.23,14.23,1,High Heat Stress Risk,32.35
24.72,55.89,27.75,63.99,24.71,29.5,15.31,3.03,8.1,0,Optimal Thermal Comfort,27.41
25.89,48.0,30.17,52.37,25.79,31.7,14.03,4.28,4.37,0,Optimal Thermal Comfort,29.98
24.71,63.76,23.19,73.52,24.9,23.48,17.37,-1.52,9.76,0,Optimal Thermal Comfort,26.96
34.04,39.89,36.72,55.48,35.47,47.89,18.46,2.68,15.59,1,High Heat Stress Risk,39.23
26.95,66.04,32.19,78.3,28.46,44.32,20.06,5.24,12.26,0,Optimal Thermal Comfort,32.16
22.98,60.15,24.92,62.07,22.9,25.09,14.83,1.94,1.92,0,Optimal Thermal Comfort,26.05
30.13,56.17,34.46,70.24,32.33,48.52,20.42,4.33,14.07,1,High Heat Stress Risk,34.23
22.36,42.07,27.59,45.78,21.75,27.69,8.84,5.23,3.71,0,Optimal Thermal Comfort,26.55
27.79,68.42,31.21,78.55,30.08,41.06,21.43,3.42,10.13,1,High Heat Stress Risk,33.12
19.55,55.34,24.15,61.57,19.01,24.23,10.35,4.6,6.23,0,Optimal Thermal Comfort,21.9
21.95,47.38,23.94,54.23,21.44,23.81,10.24,1.99,6.85,0,Optimal Thermal Comfort,26.16
27.75,26.1,31.47,40.34,26.76,31.59,6.54,3.72,14.24,0,Optimal Thermal Comfort,33.08
29.81,61.66,35.41,62.35,32.8,47.52,21.64,5.6,0.69,1,High Heat Stress Risk,35.84
27.65,84.15,32.21,99.0,31.81,54.72,24.72,4.56,14.85,1,High Heat Stress Risk,33.4
26.56,82.77,29.41,77.61,28.98,35.33,23.38,2.85,-5.16,1,High Heat Stress Risk,32.62
25.86,56.29,30.57,60.3,25.97,34.02,16.48,4.71,4.01,0,Optimal Thermal Comfort,30.18
21.38,54.47,27.23,65.75,21.0,28.86,11.81,5.85,11.28,0,Optimal Thermal Comfort,25.55
24.26,67.86,23.75,80.74,24.51,24.29,17.94,-0.51,12.88,0,Optimal Thermal Comfort,27.51
25.25,49.52,32.12,57.27,25.12,36.54,13.92,6.87,7.75,0,Optimal Thermal Comfort,30.07
31.02,65.77,34.44,73.84,36.42,50.43,23.85,3.42,8.07,1,High Heat Stress Risk,37.34
28.31,71.58,33.48,83.16,31.52,51.81,22.67,5.17,11.58,1,High Heat Stress Risk,32.32
20.3,77.34,27.25,84.1,20.4,30.76,16.2,6.95,6.76,1,High Heat Stress Risk,23.74
28.23,60.75,29.28,79.7,29.89,35.46,19.91,1.05,18.95,0,Optimal Thermal Comfort,33.65
25.54,59.45,28.1,74.25,25.7,31.47,17.04,2.56,14.8,0,Optimal Thermal Comfort,30.52
24.43,51.03,27.96,66.07,24.26,30.09,13.63,3.53,15.04,0,Optimal Thermal Comfort,28.35
29.32,51.66,31.72,52.92,30.31,34.55,18.32,2.4,1.26,1,High Heat Stress Risk,34.72
